trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,related_trails,pilegrimsleden_id,proposal_note
Romeriksleden,"""Rastebu"" at Farseggen #1",Rasteplass,59.9999579,11.0495442,gap,,,,,Gudbrandsdalsleden; Romeriksleden,9064,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,"""Rastebu"" ved Farseggen #2",Rasteplass,59.9963896,11.0843414,gap,,,,,Gudbrandsdalsleden; Romeriksleden,9061,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,Arteid Vestre,Overnatting | Rom og hytter | Teltplass,60.0504832,11.1530332,gap,,,,,Gudbrandsdalsleden; Romeriksleden,10933,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,Atelier Lefstorvet,Overnatting | Pilegrimsherberge,60.8350473,11.0091287,gap,,,,,Gudbrandsdalsleden; Romeriksleden,77660,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,Best Western Leto Arena Hotel,Overnatting | Hotell | Spisested,60.2500142,11.1794512,matched,node/3123089878,https://www.openstreetmap.org/node/3123089878,70.4,osm:name=Best Western Leto Arena; osm:tourism=hotel,Gudbrandsdalsleden; Romeriksleden,10928,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/3123089878.
Romeriksleden,Birkebeineren Hotel & Apartments,Overnatting,61.1202060,10.4782960,matched,node/1857875111,https://www.openstreetmap.org/node/1857875111,28.4,osm:name=Birkebeineren Hotel & Apartments; osm:tourism=hotel,Gudbrandsdalsleden; Romeriksleden,10891,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/1857875111.
Romeriksleden,Brynn i Bergsengroa,Overnatting | Pilegrimsherberge | Teltplass,61.0364407,10.4874372,gap,,,,,Gudbrandsdalsleden; Romeriksleden,290822,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,Eidsvoll gamle prestegård - STENGT I 2026,Overnatting | Pilegrimsherberge | Teltplass,60.3197741,11.2458617,gap,,,,,Gudbrandsdalsleden; Romeriksleden,9845,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,Enkel overnatting i gapahuk/hytte,Overnatting | Gapahuk,60.3805850,11.2759638,gap,,,,,Gudbrandsdalsleden; Romeriksleden,9374,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,Fjellheim gård,Overnatting | Pilegrimsherberge | Teltplass,60.0378726,11.1432213,gap,,,,,Gudbrandsdalsleden; Romeriksleden,88695,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,Fokhol Gård,Overnatting,60.7230824,11.1539412,matched,node/3108302194,https://www.openstreetmap.org/node/3108302194,63.9,osm:name=Gjestehus Fokhol; osm:tourism=guest_house,Gudbrandsdalsleden; Romeriksleden,10915,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/3108302194.
Romeriksleden,Frich`s Motell og Spiseri Rudshøgda,Overnatting | Hotell | Spisested,60.9123173,10.8125991,gap,,,,,Gudbrandsdalsleden; Romeriksleden,10903,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
Romeriksleden,"Gapahuk ""Pilegrimshvile""",Gapahuk,59.9662800,10.9510000,gap,,,,,Gudbrandsdalsleden; Romeriksleden,560431,Proposed: create OSM object and add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only.
